6211BX,"POLYGON((176528.0898 318289.8128, 176509.5752 318220.7662, 176518.42974 318164.2983, 176501.0511 318149.5169, 176494.3881 318200.0061, 176510.341 318286.9033, 176528.0898 318289.8128))"
6211BZ,"POLYGON((176400.13555 318275.076, 176354.8267 318302.6669, 176402.1802 318294.4768, 176423.222 318305.8145, 176400.13555 318275.076))"
6211CA,"POLYGON((176558.3251 318122.9064, 176514.2454 318119.8934, 176433.2857 318062.32175, 176418.8746 318068.9474, 176452.371 318104.424, 176567.5573 318158.4604, 176558.3251 318122.9064))"
6211CB,"MULTIPOLYGON(((176418.8746 318068.9474, 176404.532 318083.9943, 176422.57745 318082.969375, 176418.8746 318068.9474)), ((176528.947 318145.5825, 176430.5226 318092.6097, 176440.7195 318126.8538, 176467.5787 318148.3314, 176512.0472 318154.05655, 176547.3229 318185.6243, 176567.5573 318158.4604, 176528.947 318145.5825)))"
6211CC,"POLYGON((176597.8682 318153.3441, 176567.5573 318158.4604, 176547.3229 318185.6243, 176554.2887 318254.39215, 176571.135 318278.6504, 176544.6415 318326.6778, 176580.9401 318345.7889, 176581.548 318370.836, 176594.365 318371.623, 176606.04665 318280.98885, 176597.8682 318153.3441))"
6211CD,"POLYGON((176597.8682 318153.3441, 176600.65 318073.962, 176558.3251 318122.9064, 176567.5573 318158.4604, 176597.8682 318153.3441))"
6211CE,"POLYGON((176558.3251 318122.9064, 176601.1638 318066.9501, 176562.8875 318084.3228, 176459.7251 318062.27972, 176448.1004 318076.3041, 176514.2454 318119.8934, 176558.3251 318122.9064), (176533.0043 318083.4579, 176534.3754 318099.8244, 176517.0321 318098.4992, 176516.74825 318082.9059, 176533.0043 318083.4579))"
6211CG,"POLYGON((176533.0043 318083.4579, 176516.74825 318082.9059, 176517.0321 318098.4992, 176534.3754 318099.8244, 176533.0043 318083.4579))"
6211CH,"POLYGON((176372.2051 318014.2235, 176380.8094 317966.1335, 176355.0697 317928.4759, 176325.920533 317924.561433, 176312.1806 317965.7545, 176321.95 318062.8542, 176334.5742 318018.71425, 176372.2051 318014.2235))"
6211CJ,"POLYGON((176321.933 318082.2961, 176331.7542 318063.2126, 176312.1806 317965.7545, 176294.7607 318059.0952, 176265.6829 318070.1148, 176263.5732 318085.7597, 176290.5189 318095.28355, 176291.8124 318117.8629, 176321.933 318082.2961))"
6211CK,"POLYGON((176404.532 318083.9943, 176415.011033 318066.092333, 176448.1004 318076.3041, 176459.7251 318062.27972, 176445.428 318027.8735, 176472.1146 318023.051, 176481.957 317971.8614, 176445.4857 317970.3852, 176429.206 318018.2412, 176334.5742 318018.71425, 176331.4388 318072.5382, 176389.842 318092.4669, 176404.532 318083.9943))"
6211CL,"POLYGON((176481.957 317971.8614, 176491.2985 317952.0836, 176449.7338 317914.0828, 176423.7097 317929.7507, 176351.372 317909.936, 176381.9037 317969.0734, 176371.3707 318009.5092, 176384.7378 318021.0303, 176434.7495 318016.32625, 176445.4857 317970.3852, 176481.957 317971.8614))"
6211CM,"POLYGON((176397.1838 317918.5879, 176409.49545 317905.0652, 176404.1488 317845.7235, 176379.7546 317841.4147, 176367.8344 317896.1785, 176377.1271 317916.6376, 176397.1838 317918.5879))"
6211CN,"POLYGON((176371.3638 317910.9962, 176364.8938 317874.7899, 176379.7546 317841.4147, 176360.7587 317830.1743, 176351.372 317909.936, 176371.3638 317910.9962))"
6211CP,"POLYGON((176322.5084 317941.4492, 176325.920533 317924.561433, 176355.0697 317928.4759, 176356.2167 317836.284, 176300.6051 317875.44665, 176265.8943 317881.4627, 176294.4297 317938.7754, 176322.5084 317941.4492))"
6211CR,"POLYGON((176449.7338 317914.0828, 176455.0116 317866.1486, 176428.95756 317844.20754, 176415.14658 317928.87804, 176449.7338 317914.0828))"
6211CS,"MULTIPOLYGON(((176418.6294 317842.0351, 176404.1488 317845.7235, 176409.49545 317905.0652, 176397.1838 317918.5879, 176415.14658 317928.87804, 176428.95756 317844.20754, 176418.6294 317842.0351)), ((176187.0983 318568.4366, 176154.0809 318584.243, 176216.926233 318651.538267, 176231.6415 318576.7078, 176187.0983 318568.4366)))"
6211CT,"MULTIPOLYGON(((176454.1072 317824.9165, 176488.9659 317823.14225, 176467.562586 317775.884129, 176440.518 317812.7905, 176454.1072 317824.9165)), ((176430.02255 317824.8024, 176395.2056 317783.685, 176344.371 317800.7691, 176346.8763 317819.4346, 176430.02255 317824.8024)))"
6211CV,"POLYGON((176344.371 317800.7691, 176322.0853 317787.4617, 176304.8996 317801.435, 176288.742 317792.8072, 176278.9962 317811.0824, 176342.5605 317816.8722, 176344.371 317800.7691))"
6211CW,"POLYGON((176488.9659 317823.14225, 176360.7587 317830.1743, 176428.95756 317844.20754, 176455.0116 317866.1486, 176488.9659 317823.14225))"
6211CX,"POLYGON((176356.2167 317836.284, 176359.1155 317821.3563, 176261.6801 317808.2464, 176325.3954 317850.2713, 176356.2167 317836.284))"
6211CZ,"POLYGON((176325.3954 317850.2713, 176305.1349 317829.8309, 176277.0588 317828.5516, 176268.5118 317873.4015, 176300.6051 317875.44665, 176325.3954 317850.2713))"
6211DA,"POLYGON((176657.5599 317647.3975, 176644.5811 317683.669, 176663.2272 317694.0969, 176657.5599 317647.3975))"
6211DE,"MULTIPOLYGON(((176609.4659 317627.5409, 176588.4221 317637.4762, 176586.8141 317660.4488, 176606.86345 317659.63925, 176609.4659 317627.5409)), ((176599.9208 317674.9398, 176586.8704 317671.9732, 176590.9398 317690.9074, 176599.9208 317674.9398)), ((176587.9802 317703.4077, 176568.971 317710.2001, 176586.8016 317717.7012, 176587.9802 317703.4077)))"
6211DS,"POLYGON((176543.6268 318036.1156, 176563.8391 318032.6111, 176561.5844 318003.699, 176506.2433 317986.7889, 176487.4534 317991.83485, 176472.1146 318023.051, 176543.6268 318036.1156))"
6211DT,"MULTIPOLYGON(((176472.1146 318023.051, 176446.32445 318024.94345, 176459.7251 318062.27972, 176501.6856 318073.2865, 176514.1171 318038.4749, 176472.1146 318023.051)), ((176556.6502 318063.2373, 176604.1142 318065.3936, 176609.9112 318035.9894, 176543.6268 318036.1156, 176536.9471 318059.5951, 176504.7515 318073.9289, 176567.4462 318083.2328, 176556.6502 318063.2373)))"
